3;0;323.74
3;2;725.44
3;1;533.85
4;1;239.73
4;3;560.06
4;2;630.63
5;3;311.37
5;1;232.78
5;0;628.08
6;5;207.51
6;1;27.46
6;4;234.03
7;5;650.59
7;2;205.55
7;3;530.39
8;1;588.43
8;7;197.99
8;4;389.79
9;0;400.36
9;7;91.71
9;2;293.02
10;3;224.97
10;1;473.81
10;5;250.77
11;0;85.70
11;9;315.35
11;8;531.74
12;4;387.98
12;3;909.80
12;6;600.03
13;12;596.40
13;4;329.79
13;3;344.27
14;1;445.05
14;13;310.65
14;4;206.35
15;9;217.41
15;8;467.90
15;13;424.68
16;9;271.30
16;13;33.97
16;1;474.22
17;13;488.79
17;3;346.44
17;1;301.76
18;8;230.33
18;3;742.12
18;7;250.14
19;10;81.01
19;6;478.80
19;13;451.36
0;19;442.77
0;8;608.46
0;7;491.47
1;12;595.37
1;7;740.59
1;13;457.87
2;8;253.16
2;14;454.43
2;16;442.76
