0;1;630.14
0;2;303.21
0;3;356.35
1;2;863.21
1;3;555.02
2;3;655.13
4;2;183.22
4;3;778.28
4;0;424.20
5;2;70.58
5;0;329.36
5;3;669.17
6;2;544.49
6;3;455.47
6;0;349.27
7;0;534.08
7;1;216.11
7;3;590.88
8;3;740.38
8;1;525.30
8;2;545.74
9;2;326.96
9;0;623.10
9;7;1012.05
10;0;355.57
10;4;779.66
10;5;658.28
11;3;715.60
11;5;395.51
11;9;557.49
12;3;841.03
12;9;330.72
12;10;842.87
13;6;584.09
13;9;474.10
13;2;375.41
14;3;778.68
14;9;978.50
14;7;220.72
15;1;441.89
15;4;641.00
15;8;559.42
16;0;432.64
16;6;170.34
16;4;484.07
17;4;551.29
17;5;756.01
17;0;711.20
18;10;946.82
18;0;667.31
18;2;615.80
19;3;30.02
19;2;656.22
19;9;959.05
20;12;673.36
20;9;798.03
20;3;169.30
21;3;991.22
21;9;567.04
21;10;1003.11
22;4;450.00
22;9;786.67
22;3;806.76
23;0;197.31
23;14;513.06
23;18;484.42
24;0;517.07
24;16;321.35
24;4;758.93
25;0;196.81
25;15;75.96
25;4;568.32
26;19;613.91
26;24;590.52
26;4;183.21
27;14;496.87
27;0;648.65
27;5;559.95
28;24;548.21
28;8;288.01
28;4;715.46
29;0;626.46
29;2;382.58
29;16;583.01
